No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,Iws,precipitation,Iprec,Air Quality,cbwd_new
17443,2011,12,28,18,4,4.0,62.0,1027.1,11.0,8.0,0.0,0.0,2,1
17444,2011,12,28,19,4,4.0,62.0,1027.1,11.0,9.0,0.0,0.0,2,1
17445,2011,12,28,20,4,5.0,71.07,1028.1,10.0,11.0,0.0,0.0,2,1
17446,2011,12,28,21,4,5.0,71.07,1028.1,10.0,13.0,0.0,0.0,2,1
17447,2011,12,28,22,4,6.0,76.18,1028.1,10.0,15.0,0.0,0.0,1,1
17448,2011,12,28,23,4,6.0,76.18,1028.1,10.0,17.0,0.0,0.0,1,1
17449,2011,12,29,0,4,6.0,76.18,1028.1,10.0,19.0,0.0,0.0,1,1
17450,2011,12,29,1,4,5.0,76.01,1028.1,9.0,21.0,0.0,0.0,1,1
17451,2011,12,29,2,4,5.0,76.01,1028.1,9.0,23.0,0.0,0.0,1,1
17452,2011,12,29,3,4,5.0,81.34,1028.1,8.0,25.0,0.0,0.0,1,1
17453,2011,12,29,4,4,5.0,81.34,1027.1,8.0,29.0,0.0,0.0,1,1
17454,2011,12,29,5,4,4.0,70.88,1028.1,9.0,34.0,0.0,0.0,1,1
17455,2011,12,29,6,4,4.0,70.88,1028.1,9.0,37.0,0.0,0.0,2,1
17456,2011,12,29,7,4,4.0,70.88,1029.1,9.0,40.0,0.0,0.0,2,1
17457,2011,12,29,8,4,4.0,70.88,1030.1,9.0,44.0,0.0,0.0,2,1
17458,2011,12,29,9,4,4.0,66.27,1030.1,10.0,49.0,0.0,0.0,2,1
17459,2011,12,29,10,4,4.0,62.0,1030.1,11.0,55.0,0.0,0.0,2,1
17461,2011,12,29,12,4,3.0,57.77,1030.1,11.0,66.0,0.0,0.0,2,1
17462,2011,12,29,13,4,1.0,50.08,1029.1,11.0,71.0,0.0,0.0,1,1
17463,2011,12,29,14,4,2.0,53.81,1028.1,11.0,76.0,0.0,0.0,2,1
17464,2011,12,29,15,4,3.0,61.76,1028.1,10.0,83.0,0.0,0.0,2,1
17465,2011,12,29,16,4,3.0,61.76,1029.1,10.0,89.0,0.0,0.0,2,1
17466,2011,12,29,17,4,3.0,66.05,1029.1,9.0,95.0,0.0,0.0,3,1
17467,2011,12,29,18,4,3.0,66.05,1031.2,9.0,102.0,0.0,0.0,3,1
17468,2011,12,29,19,4,3.0,70.67,1031.2,8.0,108.0,0.0,0.0,4,1
17469,2011,12,29,20,4,3.0,75.67,1031.2,7.0,115.0,0.0,0.0,4,1
17470,2011,12,29,21,4,3.0,75.67,1031.2,7.0,120.0,0.0,0.0,3,1
17471,2011,12,29,22,4,3.0,81.06,1031.2,6.0,125.0,0.0,0.0,2,1
17472,2011,12,29,23,4,1.0,70.27,1031.8,6.0,131.0,0.0,0.0,2,1
17473,2011,12,30,0,4,1.0,70.27,1031.8,6.0,136.0,0.0,0.0,1,1
17474,2011,12,30,1,4,0.0,65.36,1031.8,6.0,141.0,0.0,0.0,1,1
17475,2011,12,30,2,4,0.0,70.06,1031.8,5.0,146.0,0.0,0.0,1,1
17476,2011,12,30,3,4,0.0,75.14,1031.8,4.0,151.0,0.0,0.0,1,1
17477,2011,12,30,4,4,0.0,75.14,1031.8,4.0,156.0,0.0,0.0,1,1
17498,2011,12,31,1,4,-2.0,69.64,1031.8,3.0,2.0,0.0,0.0,2,3
17499,2011,12,31,2,4,-2.0,74.78,1031.8,2.0,5.0,0.0,0.0,2,3
17500,2011,12,31,3,4,-2.0,80.34,1031.2,1.0,8.0,0.0,0.0,2,3
17501,2011,12,31,4,4,-2.0,74.78,1031.2,2.0,1.0,0.0,0.0,3,1
17502,2011,12,31,5,4,-2.0,80.34,1030.1,1.0,3.0,0.0,0.0,3,1
17503,2011,12,31,6,4,-2.0,80.34,1030.1,1.0,6.0,0.0,0.0,3,1
17504,2011,12,31,7,4,-2.0,80.34,1030.1,1.0,8.0,0.0,0.0,3,1
17505,2011,12,31,8,4,0.0,80.63,1030.1,3.0,2.0,0.0,0.0,3,3
17506,2011,12,31,9,4,1.0,70.27,1031.2,6.0,1.0,0.0,0.0,3,5
17507,2011,12,31,10,4,0.0,61.01,1031.2,7.0,2.0,0.0,0.0,3,1
