year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,Iws,precipitation,Iprec,Air Quality,cbwd_new
2011,12,28,18,4,4,62,1027.1,11,8,0,0,2,1
2011,12,28,19,4,4,62,1027.1,11,9,0,0,2,1
2011,12,28,20,4,5,71.07,1028.1,10,11,0,0,2,1
2011,12,28,21,4,5,71.07,1028.1,10,13,0,0,2,1
2011,12,28,22,4,6,76.18,1028.1,10,15,0,0,1,1
2011,12,28,23,4,6,76.18,1028.1,10,17,0,0,1,1
2011,12,29,0,4,6,76.18,1028.1,10,19,0,0,1,1
2011,12,29,1,4,5,76.01,1028.1,9,21,0,0,1,1
2011,12,29,2,4,5,76.01,1028.1,9,23,0,0,1,1
2011,12,29,3,4,5,81.34,1028.1,8,25,0,0,1,1
2011,12,29,4,4,5,81.34,1027.1,8,29,0,0,1,1
2011,12,29,5,4,4,70.88,1028.1,9,34,0,0,1,1
2011,12,29,6,4,4,70.88,1028.1,9,37,0,0,2,1
2011,12,29,7,4,4,70.88,1029.1,9,40,0,0,2,1
2011,12,29,8,4,4,70.88,1030.1,9,44,0,0,2,1
2011,12,29,9,4,4,66.27,1030.1,10,49,0,0,2,1
2011,12,29,10,4,4,62,1030.1,11,55,0,0,2,1
2011,12,29,12,4,3,57.77,1030.1,11,66,0,0,2,1
2011,12,29,13,4,1,50.08,1029.1,11,71,0,0,1,1
2011,12,29,14,4,2,53.81,1028.1,11,76,0,0,2,1
2011,12,29,15,4,3,61.76,1028.1,10,83,0,0,2,1
2011,12,29,16,4,3,61.76,1029.1,10,89,0,0,2,1
2011,12,29,17,4,3,66.05,1029.1,9,95,0,0,3,1
2011,12,29,18,4,3,66.05,1031.2,9,102,0,0,3,1
2011,12,29,19,4,3,70.67,1031.2,8,108,0,0,4,1
2011,12,29,20,4,3,75.67,1031.2,7,115,0,0,4,1
2011,12,29,21,4,3,75.67,1031.2,7,120,0,0,3,1
2011,12,29,22,4,3,81.06,1031.2,6,125,0,0,2,1
2011,12,29,23,4,1,70.27,1031.8,6,131,0,0,2,1
2011,12,30,0,4,1,70.27,1031.8,6,136,0,0,1,1
2011,12,30,1,4,0,65.36,1031.8,6,141,0,0,1,1
2011,12,30,2,4,0,70.06,1031.8,5,146,0,0,1,1
2011,12,30,3,4,0,75.14,1031.8,4,151,0,0,1,1
2011,12,30,4,4,0,75.14,1031.8,4,156,0,0,1,1
2011,12,31,1,4,-2,69.64,1031.8,3,2,0,0,2,3
2011,12,31,2,4,-2,74.78,1031.8,2,5,0,0,2,3
2011,12,31,3,4,-2,80.34,1031.2,1,8,0,0,2,3
2011,12,31,4,4,-2,74.78,1031.2,2,1,0,0,3,1
2011,12,31,5,4,-2,80.34,1030.1,1,3,0,0,3,1
2011,12,31,6,4,-2,80.34,1030.1,1,6,0,0,3,1
2011,12,31,7,4,-2,80.34,1030.1,1,8,0,0,3,1
2011,12,31,8,4,0,80.63,1030.1,3,2,0,0,3,3
2011,12,31,9,4,1,70.27,1031.2,6,1,0,0,3,5
2011,12,31,10,4,0,61.01,1031.2,7,2,0,0,3,1
2011,12,31,11,4,0,56.99,1030.1,8,2,0,0,3,3
2011,12,31,12,4,-1,49.51,1029.1,9,2,0,0,3,1
2011,12,31,13,4,-1,46.29,1027.1,10,2,0,0,3,2
2011,12,31,14,4,-1,43.31,1027.1,11,2,0,0,3,4
2011,12,31,16,4,-1,46.29,1026.1,10,7,0,0,3,4
2011,12,31,17,4,-1,49.51,1027.1,9,10,0,0,3,4
2011,12,31,18,4,0,56.99,1027.1,8,3,0,0,3,3
2011,12,31,19,4,-1,56.72,1028.1,7,2,0,0,3,1
2011,12,31,20,4,1,65.59,1028.1,7,2,0,0,3,2
2011,12,31,21,4,1,65.59,1028.1,7,4,0,0,3,2
2011,12,31,22,4,1,65.59,1028.1,7,7,0,0,3,2
2012,1,1,8,4,2,80.92,1030.1,5,4,0,0,4,1
2012,1,1,9,4,1,70.27,1031.2,6,9,0,0,4,1
2012,1,1,10,4,-1,60.76,1031.2,6,5,0,0,3,3
2012,1,1,11,4,-3,45.7,1030.1,8,11,0,0,3,3
2012,1,1,12,4,-4,42.4,1029.1,8,7,0,0,2,1
2012,1,1,13,4,-3,45.7,1029.1,8,6,0,0,2,3
2012,1,1,14,4,-3,45.7,1029.1,8,7,0,0,3,1
2012,1,1,15,4,-3,45.7,1029.1,8,13,0,0,3,1
2012,1,1,16,4,-3,45.7,1029.1,8,20,0,0,3,1
2012,1,1,17,4,-1,56.72,1030.1,7,27,0,0,4,1
2012,1,1,18,4,-1,56.72,1030.1,7,34,0,0,5,1
2012,1,1,19,4,-1,65.13,1031.2,5,42,0,0,5,1
2012,1,1,20,4,-1,69.85,1031.2,4,47,0,0,3,1
2012,1,1,21,4,-2,69.64,1031.2,3,51,0,0,2,1
2012,1,1,22,4,-2,69.64,1031.2,3,55,0,0,2,1
2012,1,1,23,4,-2,74.78,1030.1,2,58,0,0,2,1
2012,1,2,0,4,-2,69.64,1030.1,3,62,0,0,2,1
2012,1,2,1,4,-3,69.43,1029.1,2,65,0,0,1,1
2012,1,2,2,4,-3,64.66,1030.1,3,3,0,0,2,3
2012,1,2,3,4,-3,69.43,1030.1,2,6,0,0,2,3
2012,1,2,4,4,-3,74.59,1029.1,1,1,0,0,2,5
2012,1,2,5,4,-3,74.59,1029.1,1,2,0,0,2,3
2012,1,2,6,4,-3,69.43,1029.1,2,1,0,0,2,1
2012,1,2,7,4,-3,74.59,1029.1,1,3,0,0,2,3
2012,1,2,8,4,-2,69.64,1030.1,3,5,0,0,2,3
2012,1,2,9,4,-1,74.96,1030.1,3,6,0,0,3,3
2012,1,2,10,4,-1,65.13,1031.2,5,2,0,0,3,1
2012,1,2,11,4,-3,48.93,1029.1,7,5,0,0,2,1
2012,1,2,12,4,-4,45.4,1028.1,7,2,0,0,2,3
2012,1,2,13,4,-4,39.63,1027.1,9,5,0,0,2,3
2012,1,2,14,4,-3,45.7,1026.1,8,1,0,0,2,5
2012,1,2,15,4,-4,42.4,1025.1,8,2,0,0,2,1
2012,1,2,16,4,-4,42.4,1025.1,8,3,0,0,2,1
2012,1,2,17,4,-3,48.93,1026.1,7,7,0,0,2,1
2012,1,2,18,4,-3,52.41,1026.1,6,10,0,0,2,1
2012,1,2,19,4,-1,60.76,1026.1,6,12,0,0,2,1
2012,1,2,20,4,-1,65.13,1027.1,5,14,0,0,2,1
2012,1,2,21,4,-2,60.51,1027.1,5,16,0,0,2,1
2012,1,2,22,4,-1,69.85,1027.1,4,18,0,0,2,1
2012,1,2,23,4,-2,69.64,1027.1,3,21,0,0,2,1
2012,1,3,0,4,-2,69.64,1027.1,3,24,0,0,2,1
2012,1,3,1,4,-1,74.96,1027.1,3,26,0,0,2,1
